COLLEGE NAME,BRANCH NAME,MAX CUTOFF
"Stella Mary's College of Engineering Arunthengan Vilai  Azhikal Post  Kanyakumari
District 629202",COMPUTER SCIENCE AND ENGINEERING,158.5
"Government College of Engineering
Srirangam  Sethurappatti  Tiruchirappalli District 620012",COMPUTER SCIENCE AND ENGINEERING,158.5
"Sri Krishna College of Enginering and Technology (Autonomous)   Kuniamuthur
Coimbatore District 641008",MECHANICAL ENGINEERING,158.5
"Gnanamani College of Technology (Autonomous) Pachal Post  Namakkal District
637018",MECHANICAL ENGINEERING,158.0
"Anna University Regional Campus - Coimbatore  Maruthamalai Main Road Navavoor Bharathiyar University Post Somayampalayam  Coimbatore District
641046",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,158.0
"Kongu Engineering College (Autonomous)
Perundurai  Erode District 638052","ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE",158.0
"Marthandam College of Engineering &
Technology  Kuttakuzhi  Veeyanoor Post Kanyakumari District 629177",INFORMATION TECHNOLOGY,158.0
Easwari Engineering College (Autonomous) Ramapuram  Chennai 600089,CIVIL  ENGINEERING,158.0
K P R Institute of Engineering and Technology (Autonomous)  Kollupalayam Village  Arasur Panchayat  Coimbatore District 641407,INFORMATION TECHNOLOGY,157.5
"Sree Sowdambika  College of Engineering
Aruppukkottai Taluk  Virudhunagar District 626134","ELECTRONICS AND
COMMUNICATION ENGINEERING",157.5
"Coimbatore Institute of Engineering and
Technolgoy (Autonomous)  Narasipuram Post Coimbatore District 641109",Computer Science and Engineering (Cyber Security),157.5
"Sri Sivasubramaniya Nadar College of Engineering (Autonomous)  Kalavakkam  Old Mahabalipuram Road (OMR)  Chengalpattu
District 603110",INFORMATION TECHNOLOGY,157.5
"Surya Engineering College  Mettukadai
Kathirampatti Post  Erode District 638107","COMPUTER SCIENCE AND
ENGINEERING",157.5
"Bannari Amman Institute of Technology
(Autonomous)  Sathyamanagalam  Erode District  638401",COMPUTER SCIENCE AND DESIGN,157.5
"PSG College of Technology (Autonomous)
Peelamedu  Coimbatore District 641004",CIVIL  ENGINEERING,157.5
"Arasu Engineering  College  Chennai Main
Road  Kumbakonam  Thanjavur District 612501",ELECTRICAL AND ELECTRONICS ENGINEERING,157.5
"Thamirabharani Engineering College Chathirampudukulam Village  Thatchanallur
Tirunelveli District 627358",COMPUTER SCIENCE AND ENGINEERING,157.5
"Sri Ramakrishna Engineering College (Autonomous)  Vattamalaipalayam
Coimbatore District 641022",INFORMATION TECHNOLOGY,157.5
