COLLEGE CODE,COLLEGE NAME,BRANCH CODE,RANCH NAME,OC,BC,BCM,MBC,SC,SCA,ST
2,"University Departments of Anna University Chennai - ACT Campus  Sardar Patel Road
Guindy  Chennai 600 025",CR,CERAMIC TECHNOLOGY (SS),,,,,130.5,,
2,"University Departments of Anna University Chennai - ACT Campus  Sardar Patel Road
Guindy  Chennai 600 025",FS,FOOD TECHNOLOGY (SS),146,,,,,,
2,"University Departments of Anna University Chennai - ACT Campus  Sardar Patel Road
Guindy  Chennai 600 025",LE,LEATHER TECHNOLOGY,,,,156.5,,,
2,"University Departments of Anna University
Chennai - ACT Campus  Sardar Patel Road Guindy  Chennai 600 025",PP,PETROLEUM ENGINEERING AND TECHNOLOGY (SS),166,,,,,,
2005,"Government College of Technology (Autonomous)  Thadagam Road  Coimbatore
District 641013",CE,CIVIL  ENGINEERING,174.5,,151.5,,,,
2005,"Government College of Technology (Autonomous)  Thadagam Road  Coimbatore
District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,,,,,177.5,,
2005,"Government College of Technology (Autonomous)  Thadagam Road  Coimbatore
District 641013",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",186.5,,,,,,
2005,"Government College of Technology
(Autonomous)  Thadagam Road  Coimbatore District 641013",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,163,,,,,
2005,"Government College of Technology
(Autonomous)  Thadagam Road  Coimbatore District 641013",EI,"ELECTRONICS AND
INSTRUMENTATION ENGINEERING",,,,174.5,,,
2005,"Government College of Technology
(Autonomous)  Thadagam Road  Coimbatore District 641013",IB,INDUSTRIAL BIO TECHNOLOGY,166.5,132.5,,159.5,,,
2005,"Government College of Technology (Autonomous)  Thadagam Road  Coimbatore
District 641013",IT,INFORMATION TECHNOLOGY,,,,,,150.5,
2005,"Government College of Technology (Autonomous)  Thadagam Road  Coimbatore
District 641013",ME,MECHANICAL ENGINEERING,,172,,,167.5,,
2005,"Government College of Technology (Autonomous)  Thadagam Road  Coimbatore
District 641013",PR,PRODUCTION ENGINEERING,170,166,,,,,
2006,"PSG College of Technology (Autonomous)
Peelamedu  Coimbatore District 641004",AS,"AUTOMOBILE ENGINEERING
(SS)",,164.5,,,,,
2006,"PSG College of Technology (Autonomous)
Peelamedu  Coimbatore District 641004",BY,"BIO MEDICAL ENGINEERING
(SS)",,,,,113.5,,
