COLLEGE CODE,COLLEGE NAME,BRANCH CODE,BRANCH NAME,OC,BC,BCM,MBC,SC,SCA,ST
4955,"Francis Xavier Engineering College (Autonomous), Vannarpettai, Tirunelveli District
627003",ME,Mechanical Engineering,133,,,,,,
4956,"Jayamatha Engineering College, Aralvaimozhi, Kanyakumari District
- 629301",CE,Civil Engineering,,117,,,,,
4957,"Jayaraj Annapackiam CSI College of Engineering, Nazareth, Thoothukudi District 628617",CS,Computer Science and Engineering,,126.5,,,,,
4957,"Jayaraj Annapackiam CSI College of Engineering, Nazareth, Thoothukudi District 628617",EC,Electronics and Communication Engineering,113,,,,,,
4959,"Kamaraj College of Engineering and Technology (Autonomous), Virudhunagar District 626001",ME,Mechanical Engineering,137.5,,,,,,
4960,"Mepco Schlenk Engineering College (Autonomous), Sivakasi, Virudhunagar District
626005",CE,Civil Engineering,157,,,,,,
4960,"Mepco Schlenk Engineering College (Autonomous), Sivakasi, Virudhunagar District
626005",ME,Mechanical Engineering,125.5,,,,,,
4961,"Nellai College of Engineering, Maruthakulam Post, Tirunelveli District 627151",CE,Civil Engineering,,,,,130,,
4961,"Nellai College of Engineering, Maruthakulam Post, Tirunelveli District 627151",CS,Computer Science and Engineering,124,,,,,,
4961,"Nellai College of Engineering, Maruthakulam Post, Tirunelveli District 627151",ME,Mechanical Engineering,,129,,,,,
4962,"National  Engineering College (Autonomous), Kovilpatti, Thoothukudi District 628503",CS,Computer Science and Engineering,110.5,,,,,,
4962,"National  Engineering College (Autonomous), Kovilpatti, Thoothukudi District 628503",ME,Mechanical Engineering,130.5,128,,,,,
4964,"P S N College of Engineering and Technology
(Autonomous), Melathediyoor, Tirunelveli Dstrict 627152",CE,Civil Engineering,,129,,,,,
4964,"P S N College of Engineering and Technology (Autonomous), Melathediyoor, Tirunelveli
Dstrict 627152",EE,Electrical and Electronics Engineering,,,,119.5,,,
4964,"P S N College of Engineering and Technology (Autonomous), Melathediyoor, Tirunelveli
Dstrict 627152",ME,Mechanical Engineering,124.5,,,,,,
4965,"P S R  Engineering College (Autonomous),
Appayanaickenpatti, Sevalpatti, Virudhunagar District 626140",EC,Electronics and Communication Engineering,111.5,,,,,,
4965,"P S R  Engineering College (Autonomous), Appayanaickenpatti, Sevalpatti, Virudhunagar
District 626140",EE,Electrical and Electronics Engineering,,119.5,,,,,
4965,"P S R  Engineering College (Autonomous),
Appayanaickenpatti, Sevalpatti, Virudhunagar District 626140",ME,Mechanical Engineering,128.5,,,,,,
4966,"PET Engineering College, Vallioor Post, Tirunelveli District 627117",EE,Electrical and Electronics Engineering,131.5,,,,,,
4966,"PET Engineering College, Vallioor Post, Tirunelveli District 627117",ME,Mechanical Engineering,126.5,124.5,,,,,
4968,"Sardar Raja College of Engineering, Alangulam, Tenkasi District 627808",ME,Mechanical Engineering,129.5,,,,,,
4969,"SCAD College of Engineering and Technology, Cheranmahadevi, Tirunelveli District 627414",CS,Computer Science and Engineering,118.5,,,,116,,
4969,"SCAD College of Engineering and Technology, Cheranmahadevi, Tirunelveli District 627414",EC,Electronics and Communication Engineering,106.5,,,,,,
4969,"SCAD College of Engineering and Technology, Cheranmahadevi, Tirunelveli District 627414",ME,Mechanical Engineering,,,,121,,,
4971,"St. Xavier Catholic College of Engineering,
Chunkankadai, Nagercoil, Kanyakumari District 629807",CS,Computer Science and Engineering,,117,,,,,
4971,"St. Xavier Catholic College of Engineering, Chunkankadai, Nagercoil, Kanyakumari District
629807",EE,Electrical and Electronics Engineering,129.5,,,,,,
4971,"St. Xavier Catholic College of Engineering, Chunkankadai, Nagercoil, Kanyakumari District
629807",ME,Mechanical Engineering,112.5,,,,,,
4973,"Rajaas Engineering College , Vadakkangulam, Tirunelveli District 627116",ME,Mechanical Engineering,133,,,,,,
4974,"Government College of Engineering, Tirunelveli District 627007",CE,Civil Engineering,,125.5,,,,,
4974,"Government College of Engineering, Tirunelveli District 627007",CS,Computer Science and Engineering,,144.5,,,,,
4974,"Government College of Engineering, Tirunelveli District 627007",EC,Electronics and Communication Engineering,156,,,132.5,141,,
4974,"Government College of Engineering, Tirunelveli District 627007",EE,Electrical and Electronics Engineering,148,,,,,,
4974,"Government College of Engineering, Tirunelveli District 627007",ME,Mechanical Engineering,167.83,137.5,,,,,
4975,"Dr. G U Pope College of Engineering, Sawyerpuram, Thoothukudi District  628251",CE,Civil Engineering,,,,,142,,
4975,"Dr. G U Pope College of Engineering, Sawyerpuram, Thoothukudi District  628251",ME,Mechanical Engineering,142,127.5,,,,,
4976,"Infant Jesus College of Engineering, Thoothukudi Highway (NH7/A), Thoothukudi District 628851",ME,Mechanical Engineering,120,,,,,,
4978,"Udaya School of Engineering, Ammandivilai Post, Kanyakumari District 629204",ME,Mechanical Engineering,108.5,,,,,,
4980,"Einstein College of Engineering, Seethaparpanallur, Tirunelveli District 627012",CS,Computer Science and Engineering,126.5,,,,,,
4980,"Einstein College of Engineering, Seethaparpanallur, Tirunelveli District 627012",EC,Electronics and Communication Engineering,144,,,,,,
4980,"Einstein College of Engineering, Seethaparpanallur, Tirunelveli District 627012",ME,Mechanical Engineering,128,,,,,,
4981,"Ponjesly College of  Engineering, Vettornimadam Post, Nagercoil, Kanyakumari
District 629003",ME,Mechanical Engineering,134,131.5,,,,,
4983,"Lord Jegannath College of Engineering and Technology, Kumarapuram, Thoppur Post,
Kanyakumari District 629402",ME,Mechanical Engineering,125,,,,,,
4984,"Marthandam College of Engineering & Technology, Kuttakuzhi, Veeyanoor Post,
Kanyakumari District 629177",EE,Electrical and Electronics Engineering,130.5,112,,,,,
4984,"Marthandam College of Engineering & Technology, Kuttakuzhi, Veeyanoor Post,
Kanyakumari District 629177",ME,Mechanical Engineering,146.5,107.5,,,,,
4989,"P S N Engineering College, Melathediyoor, Tirunelveli District 627152",ME,Mechanical Engineering,125,,,,,,
4992,"Bethlahem Institute of Engineering, Karungal, Kanyakumari District 629157",CE,Civil Engineering,123,,,,,,
4992,"Bethlahem Institute of Engineering, Karungal, Kanyakumari District 629157",EE,Electrical and Electronics Engineering,128.5,,,,,,
4992,"Bethlahem Institute of Engineering, Karungal, Kanyakumari District 629157",ME,Mechanical Engineering,97,,,,,,
4993,"Loyola Institute of Technology and Science, Loyola Nagar,  P B No.2, Thovalai, Kanyakumari
District 629302",BM,Bio- Medical Engineering,,118,,,,,
